league,season,team,player,standard_nation,standard_pos,age,standard_born,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,shooting_nation,shooting_pos,shooting_born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,keeper_nation,keeper_pos,keeper_born,keeper_Playing Time_MP,keeper_Playing Time_Starts,keeper_Playing Time_Min,keeper_Playing Time_90s,keeper_Performance_GA,keeper_Performance_GA90,keeper_Performance_SoTA,keeper_Performance_Saves,keeper_Performance_Save%,keeper_Performance_W,keeper_Performance_D,keeper_Performance_L,keeper_Performance_CS,keeper_Performance_CS%,keeper_Penalty Kicks_PKatt,keeper_Penalty Kicks_PKA,keeper_Penalty Kicks_PKsv,keeper_Penalty Kicks_PKm,keeper_Penalty Kicks_Save%,playing_time_nation,playing_time_pos,playing_time_born,playing_time_Playing Time_MP,playing_time_Playing Time_Min,playing_time_Playing Time_Mn/MP,playing_time_Playing Time_Min%,playing_time_Playing Time_90s,playing_time_Starts_Starts,playing_time_Starts_Mn/Start,playing_time_Starts_Compl,playing_time_Subs_Subs,playing_time_Subs_Mn/Sub,playing_time_Subs_unSub,playing_time_Team Success_PPM,playing_time_Team Success_onG,playing_time_Team Success_onGA,playing_time_Team Success_+/-,playing_time_Team Success_+/-90,playing_time_Team Success_On-Off,misc_nation,misc_pos,misc_born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG,market_value_eur
ARG-Primera División Argentina,2026,Vélez Sarsfield,Simon Escobar,ARG,DF,16-335,2009,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,2009,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2009,1,90,90,6.3,1.0,1,90,1,0,,4,1.0,1,1,0,0.0,-0.4,ARG,DF,2009,1.0,0,0,0,1,2,0,5,0,5,,,0,
ARG-Primera División Argentina,2026,Rosario Central,Juan Scaglia,,,17-138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2009,0,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Talleres–C,Giovanni Baroni,ARG,"MF,FW",17-147,2009,12,8,646,7.2,0,3,3,0,0,0,1,0,0.0,0.42,0.42,0.0,0.42,ARG,"MF,FW",2009,7.2,0,16,4,25.0,2.23,0.56,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"MF,FW",2009,12,646,54,44.9,7.2,8,71,0,4,20,1,1.31,6,6,0,0.0,-0.45,ARG,"MF,FW",2009,7.2,1,0,0,8,9,0,52,2,10,,,0,2500000.0
ARG-Primera División Argentina,2026,Vélez Sarsfield,Leo Cristaldo,,,17-156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAR,DF,2009,0,,,,,0,,0,0,,6,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Rosario Central,Álvaro Güich,,,17-167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2009,0,,,,,0,,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Sarmiento–J,Danilo Monza,,,17-206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,GK,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Arg Juniors,Gastón Bouhier,,,17-223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Vélez Sarsfield,Álex Verón,ARG,MF,17-236,2008,6,1,158,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2008,1.8,0,1,0,0.0,0.57,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,6,158,26,11.0,1.8,1,62,0,5,19,10,1.5,0,2,-2,-1.14,-1.7,ARG,MF,2008,1.8,0,0,0,0,1,1,3,2,1,,,0,250000.0
ARG-Primera División Argentina,2026,Arg Juniors,Santino Gianini,,,17-266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Huracán,Taiel Peralta,ARG,"MF,FW",17-269,2008,9,7,458,5.1,2,0,2,2,0,0,1,1,0.39,0.0,0.39,0.39,0.39,ARG,"MF,FW",2008,5.1,2,7,3,42.9,1.38,0.59,0.29,0.67,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"MF,FW",2008,9,458,51,31.8,5.1,7,63,0,2,10,5,0.89,4,4,0,0.0,-0.37,ARG,"MF,FW",2008,5.1,1,1,0,3,5,1,7,4,5,,,0,1000000.0
