league,season,team,standard_players_used,standard_Age,standard_Poss,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,standard_url,shooting_players_used,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,shooting_url,keeper_players_used,keeper_Playing Time_MP,keeper_Playing Time_Starts,keeper_Playing Time_Min,keeper_Playing Time_90s,keeper_Performance_GA,keeper_Performance_GA90,keeper_Performance_SoTA,keeper_Performance_Saves,keeper_Performance_Save%,keeper_Performance_W,keeper_Performance_D,keeper_Performance_L,keeper_Performance_CS,keeper_Performance_CS%,keeper_Penalty Kicks_PKatt,keeper_Penalty Kicks_PKA,keeper_Penalty Kicks_PKsv,keeper_Penalty Kicks_PKm,keeper_Penalty Kicks_Save%,keeper_url,playing_time_players_used,playing_time_Age,playing_time_Playing Time_MP,playing_time_Playing Time_Min,playing_time_Playing Time_Mn/MP,playing_time_Playing Time_Min%,playing_time_Playing Time_90s,playing_time_Starts_Starts,playing_time_Starts_Mn/Start,playing_time_Starts_Compl,playing_time_Subs_Subs,playing_time_Subs_Mn/Sub,playing_time_Subs_unSub,playing_time_Team Success_PPM,playing_time_Team Success_onG,playing_time_Team Success_onGA,playing_time_Team Success_+/-,playing_time_Team Success_+/-90,playing_time_url,misc_players_used,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG,misc_url
ARG-Primera División Argentina,2026,Aldosivi,30,28.7,43.1,16,176,1440,16,6,3,9,5,1,1,46,2,0.37,0.19,0.56,0.31,0.5,/en/squads/e5927bd8/Aldosivi-Stats,30,16,6,172,43,25.0,10.75,2.69,0.03,0.12,1,1,/en/squads/e5927bd8/Aldosivi-Stats,2,16,16,1440,16,19,1.19,61,45,72.1,0,8,8,4,25.0,3,2,1,0,33.3,/en/squads/e5927bd8/Aldosivi-Stats,30,28.7,16,1440,90,100,16,176,80,99,75,24,117,0.5,6,19,-13,-0.81,/en/squads/e5927bd8/Aldosivi-Stats,30,16,46,2,1,233,147,19,330,152,197,,,0,/en/squads/e5927bd8/Aldosivi-Stats
ARG-Primera División Argentina,2026,Arg Juniors,26,28.0,63.5,16,176,1440,16,17,11,28,15,2,3,35,1,1.06,0.69,1.75,0.94,1.62,/en/squads/d01a653b/Argentinos-Juniors-Stats,26,16,17,219,75,34.2,13.69,4.69,0.07,0.2,2,3,/en/squads/d01a653b/Argentinos-Juniors-Stats,1,16,16,1440,16,13,0.81,43,30,69.8,8,5,3,8,50.0,0,0,0,0,,/en/squads/d01a653b/Argentinos-Juniors-Stats,26,28.0,16,1440,90,100,16,176,82,100,75,18,115,1.81,17,13,4,0.25,/en/squads/d01a653b/Argentinos-Juniors-Stats,26,16,35,1,0,179,206,36,357,155,163,,,0,/en/squads/d01a653b/Argentinos-Juniors-Stats
ARG-Primera División Argentina,2026,Atlé Tucumán,25,28.2,46.4,16,176,1440,16,14,7,21,10,4,5,43,3,0.87,0.44,1.31,0.62,1.06,/en/squads/42a1ab8b/Atletico-Tucuman-Stats,25,16,14,195,56,28.7,12.19,3.5,0.05,0.18,4,5,/en/squads/42a1ab8b/Atletico-Tucuman-Stats,1,16,16,1440,16,20,1.25,49,32,63.3,3,5,8,5,31.3,3,2,1,0,33.3,/en/squads/42a1ab8b/Atletico-Tucuman-Stats,25,28.2,16,1440,90,100,16,176,82,105,70,19,120,0.88,15,20,-5,-0.31,/en/squads/42a1ab8b/Atletico-Tucuman-Stats,25,16,43,3,3,210,179,35,319,159,194,,,0,/en/squads/42a1ab8b/Atletico-Tucuman-Stats
ARG-Primera División Argentina,2026,Banfield,27,26.7,40.7,16,176,1440,16,17,17,34,17,0,0,41,3,1.06,1.06,2.12,1.06,2.12,/en/squads/06c1606c/Banfield-Stats,27,16,17,192,58,30.2,12.0,3.62,0.09,0.29,0,0,/en/squads/06c1606c/Banfield-Stats,1,16,16,1440,16,19,1.19,84,67,79.8,5,3,8,4,25.0,2,2,0,0,0.0,/en/squads/06c1606c/Banfield-Stats,27,26.7,16,1440,90,100,16,176,78,96,77,25,115,1.13,17,19,-2,-0.12,/en/squads/06c1606c/Banfield-Stats,27,16,41,3,2,180,193,32,311,151,199,,,1,/en/squads/06c1606c/Banfield-Stats
ARG-Primera División Argentina,2026,Barracas Central,25,29.2,39.1,16,176,1440,16,15,7,22,13,2,2,32,0,0.94,0.44,1.37,0.81,1.25,/en/squads/1d89634b/Barracas-Central-Stats,25,16,15,168,58,34.5,10.5,3.62,0.08,0.22,2,2,/en/squads/1d89634b/Barracas-Central-Stats,2,16,16,1440,16,15,0.94,78,63,80.8,5,6,5,4,25.0,0,0,0,0,,/en/squads/1d89634b/Barracas-Central-Stats,25,29.2,16,1440,90,100,16,176,80,105,71,25,121,1.31,15,15,0,0.0,/en/squads/1d89634b/Barracas-Central-Stats,25,16,32,0,0,197,165,16,189,164,153,,,1,/en/squads/1d89634b/Barracas-Central-Stats
ARG-Primera División Argentina,2026,Belgrano,24,30.2,51.1,16,176,1440,16,15,12,27,15,0,2,30,3,0.94,0.75,1.69,0.94,1.69,/en/squads/7765008b/Belgrano-Stats,24,16,15,179,51,28.5,11.19,3.19,0.08,0.29,0,2,/en/squads/7765008b/Belgrano-Stats,1,16,16,1440,16,13,0.81,55,45,81.8,7,5,4,8,50.0,3,3,0,0,0.0,/en/squads/7765008b/Belgrano-Stats,24,30.2,16,1440,90,100,16,176,80,98,75,23,116,1.63,17,13,4,0.25,/en/squads/7765008b/Belgrano-Stats,24,16,30,3,0,165,168,27,270,140,212,,,0,/en/squads/7765008b/Belgrano-Stats
ARG-Primera División Argentina,2026,Boca Juniors,30,27.7,59.1,16,176,1440,16,22,15,37,19,3,3,32,0,1.37,0.94,2.31,1.19,2.12,/en/squads/795ca75e/Boca-Juniors-Stats,30,16,22,186,68,36.6,11.62,4.25,0.1,0.28,3,3,/en/squads/795ca75e/Boca-Juniors-Stats,2,16,16,1440,16,9,0.56,44,35,79.5,8,6,2,9,56.3,0,0,0,0,,/en/squads/795ca75e/Boca-Juniors-Stats,30,27.7,16,1440,90,100,16,176,82,114,62,21,130,1.88,22,9,13,0.81,/en/squads/795ca75e/Boca-Juniors-Stats,30,16,32,0,0,153,206,30,303,161,203,,,0,/en/squads/795ca75e/Boca-Juniors-Stats
ARG-Primera División Argentina,2026,C. Córdoba–SdE,25,27.6,42.4,16,176,1440,16,11,8,19,10,1,1,46,1,0.69,0.5,1.19,0.62,1.13,/en/squads/9aa97c75/Central-Cordoba-de-Santiago-del-Estero-Stats,25,16,11,139,41,29.5,8.69,2.56,0.07,0.24,1,1,/en/squads/9aa97c75/Central-Cordoba-de-Santiago-del-Estero-Stats,2,16,16,1440,16,21,1.31,78,59,74.4,4,4,8,6,37.5,2,1,1,0,50.0,/en/squads/9aa97c75/Central-Cordoba-de-Santiago-del-Estero-Stats,25,27.6,16,1440,90,100,16,176,80,98,77,21,116,1.0,11,21,-10,-0.62,/en/squads/9aa97c75/Central-Cordoba-de-Santiago-del-Estero-Stats,25,16,46,1,0,215,184,28,253,172,195,,,0,/en/squads/9aa97c75/Central-Cordoba-de-Santiago-del-Estero-Stats
ARG-Primera División Argentina,2026,CA San Lorenzo,29,25.9,50.3,16,176,1440,16,14,10,24,13,1,2,43,2,0.87,0.62,1.5,0.81,1.44,/en/squads/66da6009/CA-San-Lorenzo-Stats,29,16,14,166,57,34.3,10.37,3.56,0.08,0.23,1,2,/en/squads/66da6009/CA-San-Lorenzo-Stats,2,16,16,1440,16,14,0.87,68,54,80.9,5,7,4,9,56.3,1,1,0,0,0.0,/en/squads/66da6009/CA-San-Lorenzo-Stats,29,25.9,16,1440,90,100,16,176,80,100,76,24,115,1.38,14,14,0,0.0,/en/squads/66da6009/CA-San-Lorenzo-Stats,29,16,43,2,1,208,206,21,311,175,178,,,0,/en/squads/66da6009/CA-San-Lorenzo-Stats
ARG-Primera División Argentina,2026,Defensa,27,26.9,50.5,16,176,1440,16,18,10,28,15,3,4,26,3,1.13,0.62,1.75,0.94,1.56,/en/squads/a4570206/Defensa-y-Justicia-Stats,27,16,18,158,58,36.7,9.87,3.62,0.09,0.26,3,4,/en/squads/a4570206/Defensa-y-Justicia-Stats,1,16,16,1440,16,21,1.31,58,40,67.2,4,7,5,5,31.3,3,2,1,0,33.3,/en/squads/a4570206/Defensa-y-Justicia-Stats,27,26.9,16,1440,90,100,16,176,80,101,75,23,109,1.19,18,21,-3,-0.19,/en/squads/a4570206/Defensa-y-Justicia-Stats,27,16,26,3,0,147,165,26,284,184,157,,,0,/en/squads/a4570206/Defensa-y-Justicia-Stats
